City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,yuli,9.6989,10.2744,70.92,24,6,6.02,NG,1675822599
299,roma,43.2128,-75.4557,43.83,77,100,4.61,US,1675822349
300,qingquan,30.4511,115.2559,51.51,84,100,4.07,CN,1675822600
301,paranhos,-23.8928,-55.4311,73.45,66,100,3.98,BR,1675822601
302,longyearbyen,78.2186,15.6401,24.64,80,40,20.71,SJ,1675822602
303,molina,-35.1167,-71.2833,76.73,50,100,5.75,CL,1675822603
304,bereznik,62.8551,42.7072,31.57,91,100,9.69,RU,1675822603
305,gao,16.6362,1.637,76.28,14,100,11.41,ML,1675822604
306,gallup,35.5281,-108.7426,32.76,65,0,0.0,US,1675822605
307,pisco,-13.7,-76.2167,75.25,83,0,11.5,PE,1675822563
308,muroto,33.2833,134.15,54.72,60,14,5.7,JP,1675822606
309,ahipara,-35.1667,173.1667,72.36,54,39,8.48,NZ,1675822607
310,shushtar,32.0455,48.8567,51.91,59,0,2.59,IR,1675822417
311,inyonga,-6.7167,32.0667,61.97,92,49,2.62,TZ,1675822608
312,dukhovshchina,55.1919,32.4111,6.04,99,81,4.36,RU,1675822609
313,rantauprapat,2.1,99.8333,78.51,73,100,1.21,ID,1675822609
314,serta,39.8085,-8.0988,41.95,82,34,6.78,PT,1675822610
315,strandby,57.4915,10.4961,39.4,93,98,11.77,DK,1675822611
316,santa maria,-29.6842,-53.8069,74.03,50,0,7.29,BR,1675822611
317,oxbow,49.2333,-102.1676,31.64,86,100,11.3,CA,1675822612
318,bontang,0.1333,117.5,75.9,78,99,3.15,ID,1675822613
319,tessalit,20.1986,1.0114,69.62,14,68,8.3,ML,1675822613
320,poya,-21.35,165.15,83.53,76,100,1.41,NC,1675822614
321,nouadhibou,20.931,-17.0347,60.78,72,0,20.71,MR,1675822615
322,yatou,37.15,122.3833,38.61,51,83,12.82,CN,1675822616
323,selfoss,63.9331,-20.9971,24.85,56,100,31.79,IS,1675822617
324,mahibadhoo,3.7833,72.9667,80.51,67,66,5.61,MV,1675822617
325,dingle,10.9995,122.6711,79.95,78,100,12.62,PH,1675822618
326,hami,42.8,93.45,33.98,62,100,2.21,CN,1675822618
327,port macquarie,-31.4333,152.9167,78.89,62,85,6.15,AU,1675822393
328,nanortalik,60.1432,-45.2371,4.66,73,10,19.8,GL,1675822620
329,finschhafen,-6.6024,147.8681,85.89,70,98,3.53,PG,1675822621
330,sindi,20.8,78.8667,63.48,36,2,6.04,IN,1675822622
331,vilyuysk,63.7553,121.6247,-34.01,97,99,1.77,RU,1675822618
332,pointe-noire,-4.7761,11.8635,78.1,87,73,6.58,CG,1675822624
333,matelica,43.2541,13.0106,34.38,66,99,3.51,IT,1675822624
334,maniitsoq,65.4167,-52.9,0.66,90,100,9.46,GL,1675822626
335,abeche,13.8292,20.8324,67.05,22,75,13.76,TD,1675822627
336,mount gambier,-37.8333,140.7667,72.46,44,18,10.65,AU,1675822628
337,plakhtiyivka,46.1006,29.7217,24.06,87,100,15.26,UA,1675822629
338,nenjiang,49.1833,125.2167,-3.32,90,100,1.86,CN,1675822629
339,winslow,35.0242,-110.6974,35.78,38,0,8.05,US,1675822630
340,sept-iles,50.2001,-66.3821,21.2,81,75,24.16,CA,1675822631
341,wonthaggi,-38.6044,145.5913,66.81,59,91,7.85,AU,1675822632
342,outlook,51.5001,-107.0513,21.09,93,100,4.65,CA,1675822633
343,tromso,69.6496,18.957,39.22,65,100,26.46,NO,1675822634
344,ponta delgada,37.7333,-25.6667,54.32,87,40,9.22,PT,1675822635
345,grand bend,43.3168,-81.7498,37.98,86,100,16.26,CA,1675822636
346,wylie,33.0151,-96.5389,49.75,93,100,12.66,US,1675822490
347,pangnirtung,66.1451,-65.7125,-28.79,84,6,5.26,CA,1675822367
348,nantucket,41.2835,-70.0995,35.65,82,20,11.5,US,1675822516
349,morro bay,35.3658,-120.8499,58.41,74,100,1.01,US,1675822468
350,makakilo city,21.3469,-158.0858,79.12,69,75,11.5,US,1675822640
351,flin flon,54.7682,-101.865,27.88,83,19,9.89,CA,1675822511
352,grand island,40.925,-98.342,36.01,81,0,6.91,US,1675822494
353,kemijarvi,66.7131,27.4306,19.65,94,10,4.76,FI,1675822642
354,jasper,37.2001,-94.3502,42.85,83,40,3.44,US,1675822643
355,takoradi,4.8845,-1.7554,77.97,87,100,4.61,GH,1675822644
356,laramie,41.3114,-105.5911,26.96,86,0,10.36,US,1675822629
357,solnechnyy,50.7214,136.6319,-4.76,81,79,7.7,RU,1675822646
358,ongandjera,-17.8833,15.0667,69.12,36,88,8.28,NA,1675822647
359,ingham,42.6,-84.3833,36.63,79,100,9.22,US,1675822649
360,pochutla,15.7432,-96.4661,77.83,73,0,4.32,MX,1675822650
361,yar-sale,66.8333,70.8333,5.36,84,100,20.49,RU,1675822651
362,svetlogorsk,52.6333,29.7333,10.22,97,62,2.1,BY,1675822652
363,savannah bight,16.45,-85.85,79.27,80,4,24.87,HN,1675822652
364,takhtamygda,54.1,123.5667,-7.19,85,97,1.39,RU,1675822654
365,cascais,38.6979,-9.4215,49.93,72,12,11.99,PT,1675822655
366,yerbogachen,61.2767,108.0108,-18.51,100,99,2.91,RU,1675822660
367,sechura,-5.5569,-80.8222,76.68,74,99,11.5,PE,1675822662
368,bolgatanga,10.7856,-0.8514,86.18,17,97,9.84,GH,1675822663
369,oranjestad,12.524,-70.027,78.91,79,20,17.27,AW,1675822592
370,qeshm,26.9581,56.2719,66.09,76,87,5.68,IR,1675822518
371,batsfjord,70.6345,29.7185,33.73,80,21,26.46,NO,1675822664
372,taltal,-25.4,-70.4833,71.11,78,8,5.12,CL,1675822665
373,touros,-5.1989,-35.4608,78.48,72,100,11.99,BR,1675822666
374,husavik,66.0449,-17.3389,23.86,70,96,13.67,IS,1675822667
375,escanaba,45.7453,-87.0646,35.91,77,20,3.44,US,1675822614
376,dieppe,49.75,1.1667,34.32,64,6,3.76,FR,1675822668
377,surovatikha,55.7652,43.8984,-0.78,100,100,5.06,RU,1675822669
378,saint-pierre,-21.3393,55.4781,76.68,78,0,5.75,RE,1675822669
379,san borja,-14.8167,-66.85,72.28,99,100,1.9,BO,1675822670
380,malazgirt,39.1427,42.5401,18.12,96,100,2.01,TR,1675822671
381,slave lake,55.2834,-114.769,22.98,74,0,2.3,CA,1675822546
382,cuddapah,14.4667,78.8167,70.83,72,8,3.33,IN,1675822672
383,buguruslan,53.6554,52.442,-9.99,99,42,4.09,RU,1675822634
384,san luis,-33.295,-66.3356,80.15,30,0,10.71,AR,1675822673
385,kakonko,-3.2828,30.9642,61.25,94,92,2.59,TZ,1675822674
